Human Adjudicated GT,,,,,,,,,,,
"This is a Human Adjudicated GT for a set of anonymized emails---suspected scam/impersonation emails collected by Panacea team members---wherein each row consists of an email number (1 is the first email in the pool), a sentence from that email, a potential Ask or Framing action (e.g., ""contact"", ""win""), arguments of that action, confidence score associated with Ask or Framing (if there is one), the Ask (e.g., ""contact""=PERFORM), the Framing (e.g., ""win""=GAIN), an Ask or Framing structure (including URL).  If there is an Ask, the designation as Top Ask is marked X if it is a top ask (or unmarked if not), and an Ask Category is provided. Potential Asks and Framings are extracted using dependency/constituency parsing and semantic role labeling (SRL). Experimental data associated with this Ground truth are available on the Ask Detection website. Note: The Case Index in GT is aligned with the Case Index in the Experimental Data. Also, see Dorr et al., AAAI 2020 for overall Precision, Recall, and F results based on these outcomes.",,,,,,,,,,,
,,,,,,,,,,,
Case Index,Email,Sentence,Action,Arg1,Arg2,Confidence,Ask,Framing,Ask or Framing Representation,Top Ask,Ask Category
16,2,"Associate Director and Research Scientist, Science America, Austin, TX",--,,,,,,<[--[()[]]]>,,
17,2,"Associate Director and Research Scientist, Science America, Austin, TX",director,,,,,,<[director[()[]]]>,,
18,2,"Associate Director and Research Scientist, Science America, Austin, TX",austin,,,,,,<[austin[()[]]]>,,
19,3,Hello!,hello,,,,,,<[hello[()[]]]>,,
20,3,"We sent you this email because you're signing up for a new NewsPost account with your email address, URL",sent,this email,you,0,,,<PERFORM[sent[this email(1)['personal']]]>,,personal
21,3,"We sent you this email because you're signing up for a new NewsPost account with your email address, URL",url,,,,,,<[url[()[]]]>,,
22,3,"We sent you this email because you're signing up for a new NewsPost account with your email address, URL",signing,you,,0,,,<PERFORM[signing[you()[]]]>,,
23,3,Use the following verification code to complete registration:,use,the following verification code,to complete registration,,PERFORM,,<[Use[the following verification code()['privileged_information']]]>,X,privileged_information
24,3,Use the following verification code to complete registration:,following,verification code,,,,,<[following[verification code()['privileged_information']]]>,,privileged_information
25,3,Use the following verification code to complete registration:,complete,registration,,,,,<[complete[registration()[]]]>,,
26,3,15966,15966,,,,,,<[15966[()[]]]>,,
27,3,"Thanks,",thanks,,,,,,<[thanks[()[]]]>,,
28,3,NewsPost,newspost,,,,,,<[newspost[()[]]]>,,
29,3,We will never ask you for your password in an email.,ask,for your password,you,0.8,,,<PERFORM[NOT ask[for your password()['credentials']]]>,,credentials
30,3," If you don’t trust a link in an email, go directly to the normal sign in page via URL.",go,,,,,,<[go[()[]]]>,,
31,3," If you don’t trust a link in an email, go directly to the normal sign in page via URL.",do,,,,,,<[do[()[]]]>,,
32,3," If you don’t trust a link in an email, go directly to the normal sign in page via URL.",trust,a link in an email,,0.75,GIVE,,"<GIVE[NOT trust[a link in an email()['personal', 'phishing']]]>",,"personal,phishing"
33,4,School Employees:,employees,,,,,,<[employees[()[]]]>,,
34,4,Did you know that you may be able to get up to a 20% discount on your cell phone bill every month?,able,,,,,,<[able[()[]]]>,,
35,4,Did you know that you may be able to get up to a 20% discount on your cell phone bill every month?,be,you,able to get up to a 20 % discount on your cell phone bill every month,,,,<[be[you()['personal']]]>,,personal
36,4,Did you know that you may be able to get up to a 20% discount on your cell phone bill every month?,get,up to a 20 % discount on your cell phone bill,,0.9,,GAIN,<GAIN[get[up to a 20 % discount on your cell phone bill()['personal']]]>,,personal
37,4,"Click here to check your eligibility with Telcograph, DashNet, Altus Wireless and U.S. CellNet.",check,your eligibility,"with telcograph , dashnet , altus wireless and u.s. cellnet",0.9,PERFORM,,<PERFORM[check[your eligibility(0)[]]]>,X,
38,4,"If the link doesn't work, copy and paste the following into your browser:  URL",work,,,,,,<[NOT work[()[]]]>,,
39,4,"If the link doesn't work, copy and paste the following into your browser:  URL",copy,the following into your browser,,0.9,PERFORM,,<PERFORM[copy[the following into your browser(3)[]]]>,X,
40,4,"If the link doesn't work, copy and paste the following into your browser:  URL",paste,the following,into your browser,0.9,PERFORM,,<PERFORM[paste[the following(3)[]]]>,X,
41,4,"If the link doesn't work, copy and paste the following into your browser:  URL",following,,,,,,<[following[()[]]]>,,
42,4,"If the link doesn't work, copy and paste the following into your browser:  URL",url,,,,,,<[url[()[]]]>,,
43,4,"If the link doesn't work, copy and paste the following into your browser:  URL",does,,,,,,<[does[()[]]]>,,
44,4,"Best regards,",regards,,,,,,<[regards[()[]]]>,,
45,4,Richard,richard,,,,,,<[richard[()[]]]>,,
46,4,"P.S. To be notifed about similar discounts, sign up to receive free email alerts   here.",sign,to be notifed about similar discounts,,0.9,PERFORM,,<PERFORM[sign[to be notifed about similar discounts(1)[]]]>,X,
47,4,"P.S. To be notifed about similar discounts, sign up to receive free email alerts   here.",receive,free email alerts,,0.9,PERFORM,,<PERFORM[receive[free email alerts(1)['personal']]]>,X,personal
48,4,"P.S. To be notifed about similar discounts, sign up to receive free email alerts   here.",be,,,,,,<[be[()[]]]>,,
49,4,"P.S. To be notifed about similar discounts, sign up to receive free email alerts   here.",notifed,,,,,,<[notifed[()[]]]>,,
50,4,"P.S. To be notifed about similar discounts, sign up to receive free email alerts   here.",alerts,,,,,,<[alerts[(1)[]]]>,,
51,4,This is a complimentary informational service for school employees.,service,,,0,,,<GIVE[service[()[]]]>,,
52,4,This is a complimentary informational service for school employees.,is,this,a complimentary informational service for school employees,,,,<[is[this()[]]]>,,
53,4," If you would rather not receive this type of information, you may unsubscribe from further communications here, or simply reply with the word STOP in the subject line.",unsubscribe,from further communications,,0.9,PERFORM,,<PERFORM[unsubscribe[from further communications(2)[]]]>,,
54,4," If you would rather not receive this type of information, you may unsubscribe from further communications here, or simply reply with the word STOP in the subject line.",receive,this type of information,,0.7,,,<PERFORM[NOT receive[this type of information()[]]]>,,
55,4," If you would rather not receive this type of information, you may unsubscribe from further communications here, or simply reply with the word STOP in the subject line.",reply,with the word stop in the subject line,,0.8,PERFORM,,<PERFORM[reply[with the word stop in the subject line()['privileged_information']]]>,,privileged_information
56,4, Thank you for your time and service.,thank,you,for your time and service,,,,<[Thank[you()[]]]>,,
57,4," MED (MyEdDiscount), P.O. Box 9999, Springfield, MA",med,,,,,,<[med[()[]]]>,,
58,5,Larry,larry,,,,,,<[larry[()[]]]>,,
59,5,Hope you enjoy this BuyAmazing gift card!,hope,you enjoy this buyamazing gift card,,,,,<[Hope[you enjoy this buyamazing gift card()['scam_gift']]]>,,scam_gift
60,5,Hope you enjoy this BuyAmazing gift card!,enjoy,this buyamazing gift card,,,,GAIN,<[enjoy[this buyamazing gift card()['scam_gift']]]>,,scam_gift
61,5,Have a great birthday,have,a great birthday,,,,,<[Have[a great birthday()['personal_sensitive']]]>,,personal_sensitive
62,5,$250.00 ,250,,,,,,<[250.00[()[]]]>,,
63,5,$250.00 ,$,,,,,,<[$[()['finance_money']]]>,,finance_money
64,5,BuyAmazing.com Gift Card,card,,,,,,<[card[()[]]]>,,
65,5,Don't have an buyamazing account?,have,an buyamazing account,,,,,"<[NOT have[an buyamazing account()['finance_info', 'credentials']]]>",,"finance_info,credentials"
66,5, Sign-up to redeem.,sign-up,,,,PERFORM,,<[sign-up[()[]]]>,X,
67,5, Sign-up to redeem.,redeem,,,0,PERFORM,,<PERFORM[redeem[()[]]]>,,
68,5,Claim Code:,code,,,,,,<[code[()['privileged_information']]]>,,privileged_information
69,5,8JDK-DFS46W4VS3-54418,8jdk-dfs46w4vs3-54418,,,,,,<[8jdk-dfs46w4vs3-54418[()[]]]>,,
70,5,"Once applied to your buyamazing account, the entire amount will be added to your gift card balance.",added,the entire amount,to your gift card balance,,,,<[added[the entire amount()['scam_gift']]]>,,scam_gift
71,5,"Once applied to your buyamazing account, the entire amount will be added to your gift card balance.",applied,to your buyamazing account,,,,,"<[applied[to your buyamazing account()['finance_info', 'credentials']]]>",,"finance_info,credentials"
72,5,"Once applied to your buyamazing account, the entire amount will be added to your gift card balance.",be,,,,,,<[be[()[]]]>,,
73,5," Your gift card balance can't be transferred to other accounts, used to buy other gift cards, or, except as required by law, redeemed for cash.",be,,,,,,<[be[()[]]]>,,
74,5," Your gift card balance can't be transferred to other accounts, used to buy other gift cards, or, except as required by law, redeemed for cash.",used,your gift card balance,to buy other gift cards,,,,"<[used[your gift card balance()['scam_gift', 'scam_gift']]]>",,"scam_gift,scam_gift"
75,5," Your gift card balance can't be transferred to other accounts, used to buy other gift cards, or, except as required by law, redeemed for cash.",buy,other gift cards,,0.9,,GAIN,<GAIN[buy[other gift cards()['scam_gift']]]>,,scam_gift
76,5," Your gift card balance can't be transferred to other accounts, used to buy other gift cards, or, except as required by law, redeemed for cash.",required,,,,,,<[required[()[]]]>,,
77,5," Your gift card balance can't be transferred to other accounts, used to buy other gift cards, or, except as required by law, redeemed for cash.",redeemed,your gift card balance,,0,,,<PERFORM[redeemed[your gift card balance()['scam_gift']]]>,,scam_gift
78,5,Your gift card balance will be applied automatically to eligible orders during the checkout process or with the  BuyAmazing.com 1-Click® service.,applied,your gift card balance,to eligible orders,,,,<[applied[your gift card balance()['scam_gift']]]>,,scam_gift
79,5,Your gift card balance will be applied automatically to eligible orders during the checkout process or with the  BuyAmazing.com 1-Click® service.,be,,,,,,<[be[()[]]]>,,
80,5," If you don't want use your gift card balance on your order, you can unselect it as a payment method in checkout.",do,,,,PERFORM,,<[do[()[]]]>,X,
81,5," If you don't want use your gift card balance on your order, you can unselect it as a payment method in checkout.",want,use your gift card balance on your order,,0.75,,,<GIVE[NOT want[use your gift card balance on your order()['scam_gift']]]>,,scam_gift
82,5," If you don't want use your gift card balance on your order, you can unselect it as a payment method in checkout.",use,your gift card balance,,,,,<[use[your gift card balance()['scam_gift']]]>,,scam_gift
83,5,"If you experience any issues using your gift card, you can reference your gift card by providing the following information to customer service:",reference,your gift card,,0.9,PERFORM,,<PERFORM[reference[your gift card(3)['scam_gift']]]>,,scam_gift
84,5,"If you experience any issues using your gift card, you can reference your gift card by providing the following information to customer service:",experience,any issues using your gift card,,,,,<[experience[any issues using your gift card()['scam_gift']]]>,,scam_gift
85,5,"If you experience any issues using your gift card, you can reference your gift card by providing the following information to customer service:",using,your gift card,,,,,<[using[your gift card()['scam_gift']]]>,,scam_gift
86,5,"If you experience any issues using your gift card, you can reference your gift card by providing the following information to customer service:",providing,the following information,to customer service,0,PERFORM,,<PERFORM[providing[the following information()[]]]>,X,
87,5,"If you experience any issues using your gift card, you can reference your gift card by providing the following information to customer service:",following,information,,,,,<[following[information()[]]]>,,
88,5,Serial Number: 126598565131594 Order Number: 548-84159224-845169,number,,,,,,<[number[()[]]]>,,
89,5,Serial Number: 126598565131594 Order Number: 548-84159224-845169,number,,,,,,<[number[()[]]]>,,
90,5,Serial Number: 126598565131594 Order Number: 548-84159224-845169,548-84159224-845169,,,,,,<[548-84159224-845169[()[]]]>,,
91,5,"Sold by ACI Gift Cards, Inc., an buyamazing company.",sold,,,,,,<[Sold[()[]]]>,,
92,5, View  Terms and Conditions.,terms,,,,,,<[terms[()[]]]>,,
93,5, View  Terms and Conditions.,conditions,,,,,,<[conditions[()[]]]>,,
94,6,Did you send me the money?,send,the money,me,0.8,PERFORM,,<PERFORM[send[the money()['finance_money']]]>,X,finance_money
95,6, Do that before 9pm or you will lose money.,do,that,,,PERFORM,,<[Do[that()[]]]>,X,
96,6, Do that before 9pm or you will lose money.,lose,money,,0.9,,LOSE,<LOSE[lose[money()['finance_money']]]>,,finance_money
97,6," Right now you have won $1,000 dollars.",won,"$ 1,000 dollars",,0.9,,GAIN,"<GAIN[won[$ 1,000 dollars()['finance_money']]]>",,finance_money
98,6," Right now you have won $1,000 dollars.",have,,,,,,<[have[()[]]]>,,
99,6, So respond to me as soon as you can.,respond,to me,,0.7,PERFORM,,<PERFORM[respond[to me()[]]]>,X,
100,7,"Your dog could be a star with his photo featured in the pages of DogsAreFun magazine, on  URL and on our social pages!",star,,,,,,<[star[(11)[]]]>,,
101,7,"Your dog could be a star with his photo featured in the pages of DogsAreFun magazine, on  URL and on our social pages!",be,your dog,"a star with his photo featured in the pages of DogsAreFun magazine , on url and on our social pages",,,,"<[be[your dog()['personal', 'ideology']]]>",,"personal,ideology"
102,7,"Your dog could be a star with his photo featured in the pages of DogsAreFun magazine, on  URL and on our social pages!",featured,his photo,"in the pages of DogsAreFun magazine , on url and on our social pages",,,,<[featured[his photo()['personal']]]>,,personal
103,7," PLUS, your dog could win prizes from our sponsors: Properly Groomed Pets, Oraltene® Oral Care Products and Hug Pet Insurance.",win,prizes,from our sponsors,0.9,,GAIN,<GAIN[win[prizes()[]]]>,,
104,7," PLUS, your dog could win prizes from our sponsors: Properly Groomed Pets, Oraltene® Oral Care Products and Hug Pet Insurance.",pets,,,,,,<[pets[()[]]]>,,
105,7,This message is brought to you by a sponsor of,brought,this message,to you,0,,,<PERFORM[brought[this message()[]]]>,,
106,7,This message is brought to you by a sponsor of,is,,,,,,<[is[()[]]]>,,
107,7,DogsAreFun.com .,DogsAreFun.com,,,,,,<[DogsAreFun.com[()[]]]>,,
108,7,DogsAreFun’s Wagalicious Photo Contest,contest,,,,,,<[contest[()[]]]>,,
109,7,"Picture this: Enter for your chance to have your dog's photo featured in DogsAreFun magazine, on  URL and on our social pages!",this,,,,,,<[this[()[]]]>,,
110,7,"Picture this: Enter for your chance to have your dog's photo featured in DogsAreFun magazine, on  URL and on our social pages!",enter,,,,PERFORM,,<[Enter[()[]]]>,X,
111,7,"Picture this: Enter for your chance to have your dog's photo featured in DogsAreFun magazine, on  URL and on our social pages!",have,"your dog 's photo featured in DogsAreFun magazine , on url and on our social pages",,,,,"<[have[your dog 's photo featured in DogsAreFun magazine , on url and on our social pages(11)['personal', 'ideology']]]>",,"personal,ideology"
112,7,"Picture this: Enter for your chance to have your dog's photo featured in DogsAreFun magazine, on  URL and on our social pages!",featured,your dog 's photo,in DogsAreFun magazine,,,,"<[featured[your dog 's photo()['personal', 'ideology']]]>",,"personal,ideology"
113,7,"PLUS additional prizes from our sponsors:  Paw Cleaner,  Chomp Joy and  Morrie's Pet Galaxy.",plus,,,,,,<[plus[(1)[]]]>,,
114,7,BROUGHT TO YOU BY:,by,,,,,,<[by[()[]]]>,,
115,7,"Enter now through September 6, 2019!",enter,,,,PERFORM,,<[Enter[(4)[]]]>,,
116,7,Submit photo(s) of your dog(s) in any (or all!),submit,,,0,PERFORM,,<PERFORM[submit[()[]]]>,X,
117,7,Submit photo(s) of your dog(s) in any (or all!),all,,,,,,<[all[()[]]]>,,
118,7, of the following categories:,categories,,,,,,<[categories[()[]]]>,,
119,7, of the following categories:,following,categories,,,,,<[following[categories()[]]]>,,
120,7,Dirty Dog!,dog,,,,,,<[dog[()['ideology']]]>,,ideology
121,7, Presented by  Paw Cleaner,presented,,,0,,,<GIVE[Presented[(5)[]]]>,,
122,7,Get Your Tongue Out!,get,your tongue,,0.9,,GAIN,<GAIN[Get[your tongue()[]]]>,,
123,7, Presented by  Chomp Joy,presented,,,0,,,<GIVE[Presented[(6)[]]]>,,
124,7,Let Sleeping Dogs Lie Presented by  Morrie's Pet Galaxy,sleeping,dogs,,,,,<[Sleeping[dogs()[]]]>,,
125,7,"After you submit, we’ll pick finalists in each category.",pick,finalists in each category,,0.9,,GAIN,<GAIN[pick[finalists in each category()[]]]>,,
126,7,"After you submit, we’ll pick finalists in each category.",submit,,,0,PERFORM,,<PERFORM[submit[()[]]]>,X,
127,7, Users will vote on their favorites for three (3) total winners — one per category!,vote,on their favorites for three ( 3 ) total winners — one per category,,0.6,PERFORM,,<GIVE[vote[on their favorites for three ( 3 ) total winners — one per category()[]]]>,,
128,7, Users will vote on their favorites for three (3) total winners — one per category!,three,,,,,,<[three[()[]]]>,,
129,7, Users will vote on their favorites for three (3) total winners — one per category!,winners,,,,,,<[winners[()[]]]>,,
130,7,WHAT ARE YOU WAITING FOR?,are,,,,,,<[ARE[()[]]]>,,
131,7,WHAT ARE YOU WAITING FOR?,waiting,you,for,,,,<[WAITING[you()[]]]>,,
132,7,Submission period ends September 6.,ends,submission period,,,,,<[ends[submission period()[]]]>,,
133,7, Voting on finalists starts September 13.,starts,voting on finalists,,0.9,PERFORM,,<PERFORM[starts[voting on finalists(13)[]]]>,X,
134,7,© 2019 DogTown Media | All rights reserved.,reserved,all rights,,0.9,,,<GAIN[reserved[all rights()[]]]>,,
135,7,© 2019 DogTown Media | All rights reserved.,©,,,,,,<[©[()[]]]>,,
136,7,© 2019 DogTown Media | All rights reserved.,media,,,,,,<[media[()[]]]>,,
137,7,© 2019 DogTown Media | All rights reserved.,|,,,,,,<[|[()[]]]>,,
138,7,"999 Sycamore Blvd, Morristown, NJ",avenue,,,,,,<[avenue[()[]]]>,,
139,7,This email was intended for  URL,intended,for url,this email,,,,<[intended[for url()['personal']]]>,,personal
140,7,This email was intended for  URL,was,,,,,,<[was[()[]]]>,,
141,7,privacy policy |  unsubscribe |  view online,policy,,,,,,<[policy[(9)[]]]>,,
142,7,privacy policy |  unsubscribe |  view online,|,,,,,,<[|[(10)[]]]>,,
143,7,privacy policy |  unsubscribe |  view online,unsubscribe,,,,PERFORM,,<[unsubscribe[(10)[]]]>,X,
144,7,privacy policy |  unsubscribe |  view online,view,privacy policy,,0.9,PERFORM,,<PERFORM[view[privacy policy(8)[]]]>,X,
145,8,"Once your tax filing is done, you will receive assured rewards worth Rs 10,000 from your favorite brands like MakeATrip, Mintra, Pooma, SuburbanClip, and many more.",receive,"assured rewards worth rs 10,000","from your favorite brands like MakeATrip , Mintra , Pooma , SuburbanClip , and many more",0.7,,GAIN,"<PERFORM[receive[assured rewards worth rs 10,000()[]]]>",,
146,8,"Once your tax filing is done, you will receive assured rewards worth Rs 10,000 from your favorite brands like MakeATrip, Mintra, Pooma, SuburbanClip, and many more.",is,,,,,,<[is[()[]]]>,,
147,8,"Once your tax filing is done, you will receive assured rewards worth Rs 10,000 from your favorite brands like MakeATrip, Mintra, Pooma, SuburbanClip, and many more.",done,your tax filing,,,,,<[done[your tax filing()['finance_info']]]>,,finance_info
148,8,"Once your tax filing is done, you will receive assured rewards worth Rs 10,000 from your favorite brands like MakeATrip, Mintra, Pooma, SuburbanClip, and many more.",assured,,,,,,<[assured[()[]]]>,,
149,8,We are always happy to help you.,help,you,,0.7,,,<PERFORM[help[you()[]]]>,,
150,8,We are always happy to help you.,are,we,happy to help you,,,,<[are[we()[]]]>,,
151,8, Feel free to write to us at  supportTax@example.com for any queries.,free,,,0,,,<PERFORM[free[(0)[]]]>,,
152,8, Feel free to write to us at  supportTax@example.com for any queries.,write,to us,,,PERFORM,,<[write[to us()[]]]>,X,
153,8,Happy filing!,filing,,,,,,<[filing[()[]]]>,,
154,9,Hi Sarah,sarah,,,,,,<[sarah[()[]]]>,,
155,9,Send me your SSN number and you will get $10000,send,your ssn number,me,0.8,PERFORM,,<PERFORM[Send[your ssn number()['personal_sensitive']]]>,X,personal_sensitive
156,9,Send me your SSN number and you will get $10000,get,"$10,000 ",,0.9,,GAIN,<GAIN[get[$ 10000()['finance_money']]]>,,finance_money
157,9,Regards,regards,,,,,,<[regards[()[]]]>,,
158,9,P. Linden,liu,,,,,,<[liu[()[]]]>,,
159,10,"Dear Prof. Eric C. Johnson,",juarez,,,,,,<[juarez[()[]]]>,,
160,10,Invitation to Join Frontiers 2020 Conference Technical Committee,invitation,,,,,,<[invitation[()[]]]>,,
161,10,"On August 24-26, 2020 2nd International Conference on Frontiers of Information Studies (Frontiers 2020  www.FrontiersIS.org) will be held in London, UK.",held,2nd international conference on Frontiers of Information Studies ( Frontiers 2020 www.FrontiersIS.org ),,,,,<[held[2nd international conference on Frontiers of Information Studies ( Frontiers 2020 www.FrontiersIS.org )()[]]]>,,
162,10,"On August 24-26, 2020 2nd International Conference on Frontiers of Information Studies (Frontiers 2020  www.FrontiersIS.org) will be held in London, UK.",be,,,,,,<[be[()[]]]>,,
163,10," The conference is organized by IntSciEng (International Science and Engineering Academy,  www.IntSciEng.org) and technical supported by many universities and institutes.",organized,the conference,,,,,<[organized[the conference()[]]]>,,
164,10," The conference is organized by IntSciEng (International Science and Engineering Academy,  www.IntSciEng.org) and technical supported by many universities and institutes.",is,,,,,,<[is[()[]]]>,,
165,10," The conference is organized by IntSciEng (International Science and Engineering Academy,  www.IntSciEng.org) and technical supported by many universities and institutes.",supported,technical,,0,,,<PERFORM[supported[technical()[]]]>,,
166,10, All over the world are to take part in this conference.,take,part,,0.7,PERFORM,,<PERFORM[take[part()[]]]>,,
167,10," Own to your expertise, and on behalf of the organizing committee of IntSciEng, we would like to invite you to join Frontiers 2020 Technical Committee.",own,,,,,,<[own[()[]]]>,,
168,10," Own to your expertise, and on behalf of the organizing committee of IntSciEng, we would like to invite you to join Frontiers 2020 Technical Committee.",invite,you,to join Frontiers 2020 technical committee,,,,<[invite[you()[]]]>,,
169,10," Own to your expertise, and on behalf of the organizing committee of IntSciEng, we would like to invite you to join Frontiers 2020 Technical Committee.",organizing,,,,,,<[organizing[()[]]]>,,
170,10," Own to your expertise, and on behalf of the organizing committee of IntSciEng, we would like to invite you to join Frontiers 2020 Technical Committee.",join,Frontiers 2020 technical committee,,,PERFORM,,<[join[Frontiers 2020 technical committee()[]]]>,X,
171,10,Your expertise and experience are crucial elements to the success of our conference.,elements,,,,,,<[elements[()[]]]>,,
172,10,Your expertise and experience are crucial elements to the success of our conference.,are,your expertise and experience,crucial elements to the success of our conference,,,,<[are[your expertise and experience()[]]]>,,
173,10, By joining our conference committee you’ll enjoy the benefits of networking with fellow scientists and engineers and get special access to the many exclusive member-only services.,enjoy,the benefits of networking with fellow scientists and engineers,,,,GAIN,<[enjoy[the benefits of networking with fellow scientists and engineers()[]]]>,,
174,10, By joining our conference committee you’ll enjoy the benefits of networking with fellow scientists and engineers and get special access to the many exclusive member-only services.,joining,our conference committee,,,PERFORM,,<[joining[our conference committee()[]]]>,,
175,10, By joining our conference committee you’ll enjoy the benefits of networking with fellow scientists and engineers and get special access to the many exclusive member-only services.,networking,with fellow scientists and engineers,,,,GAIN,<[networking[with fellow scientists and engineers()[]]]>,,
176,10, By joining our conference committee you’ll enjoy the benefits of networking with fellow scientists and engineers and get special access to the many exclusive member-only services.,get,special access,to the many exclusive member - only services,0.9,,GAIN,<GAIN[get[special access()[]]]>,,
177,10, We value your participation in joining us to shape and contribute to the conference and the overall field.,value,your participation in joining us to shape and contribute to the conference and the overall field,,0.7,,,<PERFORM[value[your participation in joining us to shape and contribute to the conference and the overall field()[]]]>,,
178,10, We value your participation in joining us to shape and contribute to the conference and the overall field.,joining,us,,,PERFORM,,<[joining[us()[]]]>,,
179,10, We value your participation in joining us to shape and contribute to the conference and the overall field.,shape,to the conference and the overall field,,,,,<[shape[to the conference and the overall field()[]]]>,,
180,10, We value your participation in joining us to shape and contribute to the conference and the overall field.,contribute,to the conference and the overall field,,0.6,GIVE,,<GIVE[contribute[to the conference and the overall field()[]]]>,,
181,10,Technical Committee can enjoy the benefits we offer below:,enjoy,the benefits we offer below,,,,GAIN,<[enjoy[the benefits we offer below()['business']]]>,,business
182,10,Technical Committee can enjoy the benefits we offer below:,offer,the benefits,,0.75,,,<GIVE[offer[the benefits()['business']]]>,,business
183,10,1,1,,,,,,<[1[()[]]]>,,
184,10,"       Join the conference editorial board, Review and asses the contents and quality of submissions.",join,the conference editorial board,,,PERFORM,,<[Join[the conference editorial board()[]]]>,X,
185,10,"       Join the conference editorial board, Review and asses the contents and quality of submissions.",asses,the contents and quality of submissions,,,PERFORM,,<[asses[the contents and quality of submissions()[]]]>,,
186,10,2,2,,,,,,<[2[()[]]]>,,
187,10,       100 USD off the conference registration fee.,usd,,,,,,<[usd[()[]]]>,,
188,10,3,3,,,,,,<[3[()[]]]>,,
189,10,"       Souvenirs, coffee breaks, lunch and dinner offered on conference site.",offered,"souvenirs , coffee breaks , lunch and dinner",,0,,GAIN,"<GIVE[offered[souvenirs , coffee breaks , lunch and dinner()[]]]>",,
190,10,4,4,,,,,,<[4[()[]]]>,,
191,10,       Conference committee certificate or other materials.,certificate,,,,,,<[certificate[()[]]]>,,
192,10,       Conference committee certificate or other materials.,materials,,,,,,<[materials[()[]]]>,,
193,10,5,5,,,,,,<[5[()[]]]>,,
194,10,       Open a tutorial with privilege.,open,a tutorial,,0.9,PERFORM,,<PERFORM[Open[a tutorial(2)[]]]>,X,
195,10,6,6,,,,,,<[6[()[]]]>,,
196,10,       Icebreaker reception and other services on Aug. 24.,reception,,,0,,,<PERFORM[reception[()[]]]>,,
197,10,       Icebreaker reception and other services on Aug. 24.,services,,,0,,,<GIVE[services[()[]]]>,,
198,10,7,7,,,,,,<[7[()[]]]>,,
199,10,       Promote your book during the event.,promote,your book,,,,GAIN,<[Promote[your book()[]]]>,,
200,10,"The conference website:  www.FrontiersIS.org Venue: London, UK",website,,,,,,<[website[(2)[]]]>,,
201,10,"The conference website:  www.FrontiersIS.org Venue: London, UK",venue,,,,,,<[venue[()[]]]>,,
202,10,"If you agree to join our committee, please kindly confirm with us via this email and send back a latest resume  as well as an official photo (for dcumentary use).",confirm,with us,kindly via this email,0.8,PERFORM,,<PERFORM[confirm[with us()['personal']]]>,X,personal
